player_name,player_slug,team_name,player_fbref_id
Gabriel Dos Santos,/en/players/67ac5bb8/Gabriel-Dos-Santos,Arsenal,67ac5bb8
Aaron Ramsdale,/en/players/466fb2c5/Aaron-Ramsdale,Arsenal,466fb2c5
William Saliba,/en/players/972aeb2a/William-Saliba,Arsenal,972aeb2a
Martinelli,/en/players/48a5a5d6/Martinelli,Arsenal,48a5a5d6
Bukayo Saka,/en/players/bc7dc64d/Bukayo-Saka,Arsenal,bc7dc64d
Granit Xhaka,/en/players/e61b8aee/Granit-Xhaka,Arsenal,e61b8aee
Ben White,/en/players/35e413f1/Ben-White,Arsenal,35e413f1
Martin Ødegaard,/en/players/79300479/Martin-Odegaard,Arsenal,79300479
Gabriel Jesus,/en/players/b66315ae/Gabriel-Jesus,Arsenal,b66315ae
Thomas Partey,/en/players/529f49ab/Thomas-Partey,Arsenal,529f49ab
Oleksandr Zinchenko,/en/players/51cf8561/Oleksandr-Zinchenko,Arsenal,51cf8561
Kieran Tierney,/en/players/fce2302c/Kieran-Tierney,Arsenal,fce2302c
Takehiro Tomiyasu,/en/players/b3af9be1/Takehiro-Tomiyasu,Arsenal,b3af9be1
Eddie Nketiah,/en/players/a53649b7/Eddie-Nketiah,Arsenal,a53649b7
Albert Sambi Lokonga,/en/players/1b4f1169/Albert-Sambi-Lokonga,Arsenal,1b4f1169
Fabio Vieira,/en/players/6412cc03/Fabio-Vieira,Arsenal,6412cc03
Mohamed Elneny,/en/players/47a34c4f/Mohamed-Elneny,Arsenal,47a34c4f
Reiss Nelson,/en/players/c5bdb6e3/Reiss-Nelson,Arsenal,c5bdb6e3
Emile Smith Rowe,/en/players/17695062/Emile-Smith-Rowe,Arsenal,17695062
Cédric Soares,/en/players/839c14e1/Cedric-Soares,Arsenal,839c14e1
Rob Holding,/en/players/d79a8c87/Rob-Holding,Arsenal,d79a8c87
Marquinhos,/en/players/59878425/Marquinhos,Arsenal,59878425
Ethan Nwaneri,/en/players/7f94982c/Ethan-Nwaneri,Arsenal,7f94982c
Amario Duberry,/en/players/04eb7d82/Amario-Duberry,Arsenal,04eb7d82
Karl Jakob Hein,/en/players/aa81d8f8/Karl-Jakob-Hein,Arsenal,aa81d8f8
Nathan Oyedeji,/en/players/3a686640/Nathan-Oyedeji,Arsenal,3a686640
Nicolas Pépé,/en/players/57e3f0c7/Nicolas-Pepe,Arsenal,57e3f0c7
Matthew Smith,/en/players/54b6eed9/Matthew-Smith,Arsenal,54b6eed9
Lino Sousa,/en/players/e09d77a2/Lino-Sousa,Arsenal,e09d77a2
Matt Turner,/en/players/4a51ba65/Matt-Turner,Arsenal,4a51ba65
Ezri Konsa,/en/players/0313a347/Ezri-Konsa,Aston Villa,0313a347
Tyrone Mings,/en/players/8397a50c/Tyrone-Mings,Aston Villa,8397a50c
Ollie Watkins,/en/players/aed3a70f/Ollie-Watkins,Aston Villa,aed3a70f
Emiliano Martínez,/en/players/7956236f/Emiliano-Martinez,Aston Villa,7956236f
John McGinn,/en/players/90f91999/John-McGinn,Aston Villa,90f91999
Leon Bailey,/en/players/3a233281/Leon-Bailey,Aston Villa,3a233281
Douglas Luiz,/en/players/6f7d826d/Douglas-Luiz,Aston Villa,6f7d826d
Matty Cash,/en/players/2389cdc2/Matty-Cash,Aston Villa,2389cdc2
Lucas Digne,/en/players/1b84dbe1/Lucas-Digne,Aston Villa,1b84dbe1
Jacob Ramsey,/en/players/1544f145/Jacob-Ramsey,Aston Villa,1544f145
Boubacar Kamara,/en/players/cc77354e/Boubacar-Kamara,Aston Villa,cc77354e
Emi Buendía,/en/players/66b76d44/Emi-Buendia,Aston Villa,66b76d44
Ashley Young,/en/players/be927d03/Ashley-Young,Aston Villa,be927d03
Danny Ings,/en/players/07802f7f/Danny-Ings,Aston Villa,07802f7f
Philippe Coutinho,/en/players/0ef89a37/Philippe-Coutinho,Aston Villa,0ef89a37
Leander Dendoncker,/en/players/5a7301ae/Leander-Dendoncker,Aston Villa,5a7301ae
Robin Olsen,/en/players/e7ee38c3/Robin-Olsen,Aston Villa,e7ee38c3
Diego Carlos,/en/players/b4a014b1/Diego-Carlos,Aston Villa,b4a014b1
Calum Chambers,/en/players/dc6f5bdd/Calum-Chambers,Aston Villa,dc6f5bdd
Jan Bednarek,/en/players/4115ce4e/Jan-Bednarek,Aston Villa,4115ce4e
Ludwig Augustinsson,/en/players/9fec8860/Ludwig-Augustinsson,Aston Villa,9fec8860
Cameron Archer,/en/players/05e8ca6d/Cameron-Archer,Aston Villa,05e8ca6d
Morgan Sanson,/en/players/6e7f1353/Morgan-Sanson,Aston Villa,6e7f1353
Lamare Bogarde,/en/players/bca5c4a7/Lamare-Bogarde,Aston Villa,bca5c4a7
Tim Iroegbunam,/en/players/84c5ceea/Tim-Iroegbunam,Aston Villa,84c5ceea
Filip Marshall,/en/players/a79abd8b/Filip-Marshall,Aston Villa,a79abd8b
Marvelous Nakamba,/en/players/de5b5570/Marvelous-Nakamba,Aston Villa,de5b5570
Kadan Young,/en/players/91c75917/Kadan-Young,Aston Villa,91c75917
Jefferson Lerma,/en/players/9b5ce51a/Jefferson-Lerma,Bournemouth,9b5ce51a
Adam Smith,/en/players/20b104bc/Adam-Smith,Bournemouth,20b104bc
Lewis Cook,/en/players/2afc7272/Lewis-Cook,Bournemouth,2afc7272
Philip Billing,/en/players/d328a254/Philip-Billing,Bournemouth,d328a254
Chris Mepham,/en/players/fed96827/Chris-Mepham,Bournemouth,fed96827
Dominic Solanke,/en/players/e77dc3b2/Dominic-Solanke,Bournemouth,e77dc3b2
Marcus Tavernier,/en/players/5c0da4a4/Marcus-Tavernier,Bournemouth,5c0da4a4
Marcos Senesi,/en/players/35141f4c/Marcos-Senesi,Bournemouth,35141f4c
Jordan Zemura,/en/players/e8271ad9/Jordan-Zemura,Bournemouth,e8271ad9
Mark Travers,/en/players/fe558029/Mark-Travers,Bournemouth,fe558029
Kieffer Moore,/en/players/01ce9e70/Kieffer-Moore,Bournemouth,01ce9e70
Ryan Christie,/en/players/26ce2263/Ryan-Christie,Bournemouth,26ce2263
Lloyd Kelly,/en/players/f31def1e/Lloyd-Kelly,Bournemouth,f31def1e
Neto,/en/players/a9dc785c/Neto,Bournemouth,a9dc785c
Ryan Fredericks,/en/players/c067631c/Ryan-Fredericks,Bournemouth,c067631c
Jaidon Anthony,/en/players/e4238fb1/Jaidon-Anthony,Bournemouth,e4238fb1
Ben Pearson,/en/players/a6b461e7/Ben-Pearson,Bournemouth,a6b461e7
Jack Stacey,/en/players/558807c0/Jack-Stacey,Bournemouth,558807c0
Jack Stephens,/en/players/6adbc307/Jack-Stephens,Bournemouth,6adbc307
Siriki Dembélé,/en/players/11f54bd5/Siriki-Dembele,Bournemouth,11f54bd5
Junior Stanislas,/en/players/6992791d/Junior-Stanislas,Bournemouth,6992791d
Joe Rothwell,/en/players/10a10454/Joe-Rothwell,Bournemouth,10a10454
Jamal Lowe,/en/players/b2856bc0/Jamal-Lowe,Bournemouth,b2856bc0
Owen Bevan,/en/players/87966294/Owen-Bevan,Bournemouth,87966294
Emiliano Marcondes,/en/players/4d960fc3/Emiliano-Marcondes,Bournemouth,4d960fc3
Will Dennis,/en/players/d8edc4be/Will-Dennis,Bournemouth,d8edc4be
James Hill,/en/players/69942fb3/James-Hill,Bournemouth,69942fb3
Cameron Plain,/en/players/8c45f10e/Cameron-Plain,Bournemouth,8c45f10e
Christian Saydee,/en/players/af102dc3/Christian-Saydee,Bournemouth,af102dc3
David Raya,/en/players/98ea5115/David-Raya,Brentford,98ea5115
Rico Henry,/en/players/8a3c1dc7/Rico-Henry,Brentford,8a3c1dc7
Bryan Mbeumo,/en/players/6afaebf2/Bryan-Mbeumo,Brentford,6afaebf2
Mathias Jensen,/en/players/0f134faf/Mathias-Jensen,Brentford,0f134faf
Ben Mee,/en/players/8df7a2fb/Ben-Mee,Brentford,8df7a2fb
Ivan Toney,/en/players/e09f279b/Ivan-Toney,Brentford,e09f279b
Vitaly Janelt,/en/players/8449d35e/Vitaly-Janelt,Brentford,8449d35e
Ethan Pinnock,/en/players/e541326e/Ethan-Pinnock,Brentford,e541326e
Josh Dasilva,/en/players/60344e4f/Josh-Dasilva,Brentford,60344e4f
Mathias Jørgensen,/en/players/0db5d2c8/Mathias-Jorgensen,Brentford,0db5d2c8
Mads Roerslev,/en/players/57c94db2/Mads-Roerslev,Brentford,57c94db2
Aaron Hickey,/en/players/1780bb4a/Aaron-Hickey,Brentford,1780bb4a
Yoane Wissa,/en/players/2500cef9/Yoane-Wissa,Brentford,2500cef9
Christian Nørgaard,/en/players/df0a4c90/Christian-Norgaard,Brentford,df0a4c90
Pontus Jansson,/en/players/172e52d8/Pontus-Jansson,Brentford,172e52d8
Kristoffer Ajer,/en/players/a8c0acb7/Kristoffer-Ajer,Brentford,a8c0acb7
Frank Onyeka,/en/players/2944f86f/Frank-Onyeka,Brentford,2944f86f
Shandon Baptiste,/en/players/2886c9b5/Shandon-Baptiste,Brentford,2886c9b5
Keane Lewis-Potter,/en/players/41f08ac8/Keane-Lewis-Potter,Brentford,41f08ac8
Mikkel Damsgaard,/en/players/215f3907/Mikkel-Damsgaard,Brentford,215f3907
Saman Ghoddos,/en/players/f7b1d4e0/Saman-Ghoddos,Brentford,f7b1d4e0
Sergi Canós,/en/players/1137759d/Sergi-Canos,Brentford,1137759d
Mads Bech Sørensen,/en/players/30db8574/Mads-Bech-Sorensen,Brentford,30db8574
Halil Dervişoğlu,/en/players/9d8cf204/Halil-Dervisoglu,Brentford,9d8cf204
Matthew Cox,/en/players/fea06849/Matthew-Cox,Brentford,fea06849
Tristan Crama,/en/players/130e085a/Tristan-Crama,Brentford,130e085a
Charlie Goode,/en/players/7aee4dd3/Charlie-Goode,Brentford,7aee4dd3
Finley Stevens,/en/players/7e003182/Finley-Stevens,Brentford,7e003182
Thomas Strakosha,/en/players/339fe0e8/Thomas-Strakosha,Brentford,339fe0e8
Ryan Trevitt,/en/players/732327ae/Ryan-Trevitt,Brentford,732327ae
Yehor Yarmoliuk,/en/players/907a5d7c/Yehor-Yarmoliuk,Brentford,907a5d7c
Lewis Dunk,/en/players/282f75f3/Lewis-Dunk,Brighton,282f75f3
Robert Sánchez,/en/players/6a713852/Robert-Sanchez,Brighton,6a713852
Pascal Groß,/en/players/8aec0537/Pascal-Gross,Brighton,8aec0537
Solly March,/en/players/bb5fbd2b/Solly-March,Brighton,bb5fbd2b
Moisés Caicedo,/en/players/16264a81/Moises-Caicedo,Brighton,16264a81
Leandro Trossard,/en/players/38ceb24a/Leandro-Trossard,Brighton,38ceb24a
Alexis Mac Allister,/en/players/83d074ff/Alexis-Mac-Allister,Brighton,83d074ff
Adam Webster,/en/players/c40b6180/Adam-Webster,Brighton,c40b6180
Joël Veltman,/en/players/dad4b285/Joel-Veltman,Brighton,dad4b285
Danny Welbeck,/en/players/ce5143da/Danny-Welbeck,Brighton,ce5143da
Pervis Estupiñán,/en/players/d38fdf53/Pervis-Estupinan,Brighton,d38fdf53
Adam Lallana,/en/players/99813635/Adam-Lallana,Brighton,99813635
Kaoru Mitoma,/en/players/74618572/Kaoru-Mitoma,Brighton,74618572
Levi Colwill,/en/players/700783e7/Levi-Colwill,Brighton,700783e7
Enock Mwepu,/en/players/1d5cab82/Enock-Mwepu,Brighton,1d5cab82
Tariq Lamptey,/en/players/f4e433d4/Tariq-Lamptey,Brighton,f4e433d4
Jeremy Sarmiento,/en/players/ac0d576d/Jeremy-Sarmiento,Brighton,ac0d576d
Evan Ferguson,/en/players/4596da74/Evan-Ferguson,Brighton,4596da74
Billy Gilmour,/en/players/df10e27c/Billy-Gilmour,Brighton,df10e27c
Julio César Enciso,/en/players/9cfbad36/Julio-Cesar-Enciso,Brighton,9cfbad36
Deniz Undav,/en/players/dd549382/Deniz-Undav,Brighton,dd549382
Andrew Moran,/en/players/c4720845/Andrew-Moran,Brighton,c4720845
Jan Paul van Hecke,/en/players/4fd08daa/Jan-Paul-van-Hecke,Brighton,4fd08daa
Steven Alzate,/en/players/ad1f61f3/Steven-Alzate,Brighton,ad1f61f3
James Furlong,/en/players/ab18d1b0/James-Furlong,Brighton,ab18d1b0
Jack Hinshelwood,/en/players/e98211e7/Jack-Hinshelwood,Brighton,e98211e7
Neal Maupay,/en/players/4bcf39f6/Neal-Maupay,Brighton,4bcf39f6
Jason Steele,/en/players/28300a16/Jason-Steele,Brighton,28300a16
Ed Turns,/en/players/9bbef03e/Ed-Turns,Brighton,9bbef03e
Mason Mount,/en/players/9674002f/Mason-Mount,Chelsea,9674002f
Thiago Silva,/en/players/86e7deaf/Thiago-Silva,Chelsea,86e7deaf
Kai Havertz,/en/players/fed7cb61/Kai-Havertz,Chelsea,fed7cb61
Raheem Sterling,/en/players/b400bde0/Raheem-Sterling,Chelsea,b400bde0
Marc Cucurella,/en/players/1daec722/Marc-Cucurella,Chelsea,1daec722
Jorginho,/en/players/45db685d/Jorginho,Chelsea,45db685d
Ruben Loftus-Cheek,/en/players/e97fd090/Ruben-Loftus-Cheek,Chelsea,e97fd090
Kalidou Koulibaly,/en/players/da974c7b/Kalidou-Koulibaly,Chelsea,da974c7b
César Azpilicueta,/en/players/53cad200/Cesar-Azpilicueta,Chelsea,53cad200
Kepa Arrizabalaga,/en/players/28d596a0/Kepa-Arrizabalaga,Chelsea,28d596a0
Edouard Mendy,/en/players/33887998/Edouard-Mendy,Chelsea,33887998
