player_name,team_name,player_season_minutes,season_year,season_age,season_team,season_division,season_div_level,season_minutes,current_season_minutes
Ben White,Arsenal,,2016,18,Brighton,Championship,2,0,1150.0
Ben White,Arsenal,,2017,19,Newport County,League Two,4,3748,1150.0
Ben White,Arsenal,,2018,20,Brighton,Premier League,1,0,1150.0
Ben White,Arsenal,,2018,20,P'borough Utd,League One,3,1263,1150.0
Ben White,Arsenal,,2019,21,Leeds United,Championship,2,4140,1150.0
Ben White,Arsenal,,2020,22,Brighton,Premier League,1,3191,1150.0
Ben White,Arsenal,,2021,23,Arsenal,Premier League,1,2880,1150.0
Ben White,Arsenal,,2022,24,Arsenal,Premier League,1,1150,1150.0
Martin Ødegaard,Arsenal,,2014,15,Strømsgodset,Tippeligaen,1,1452,1074.0
Martin Ødegaard,Arsenal,,2014,15,Real Madrid,La Liga,1,34,1074.0
Martin Ødegaard,Arsenal,,2015,16,Real Madrid,La Liga,1,0,1074.0
Martin Ødegaard,Arsenal,,2016,17,Heerenveen,Eredivisie,1,680,1074.0
Martin Ødegaard,Arsenal,,2017,18,Heerenveen,Eredivisie,1,2073,1074.0
Martin Ødegaard,Arsenal,,2018,19,Vitesse,Eredivisie,1,2611,1074.0
Martin Ødegaard,Arsenal,,2019,20,Real Sociedad,La Liga,1,2527,1074.0
Martin Ødegaard,Arsenal,,2020,21,Real Madrid,La Liga,1,234,1074.0
Martin Ødegaard,Arsenal,,2020,21,Arsenal,Premier League,1,866,1074.0
Martin Ødegaard,Arsenal,,2021,22,Arsenal,Premier League,1,2785,1074.0
Martin Ødegaard,Arsenal,,2022,23,Arsenal,Premier League,1,1074,1074.0
Thomas Partey,Arsenal,,2013,20,Mallorca,Segunda División,2,2968,959.0
Thomas Partey,Arsenal,,2014,21,Almería,La Liga,1,2361,959.0
Thomas Partey,Arsenal,,2015,22,Atlético Madrid,La Liga,1,441,959.0
Thomas Partey,Arsenal,,2016,23,Atlético Madrid,La Liga,1,636,959.0
Thomas Partey,Arsenal,,2017,24,Atlético Madrid,La Liga,1,2377,959.0
Thomas Partey,Arsenal,,2018,25,Atlético Madrid,La Liga,1,2070,959.0
Thomas Partey,Arsenal,,2019,26,Atlético Madrid,La Liga,1,2549,959.0
Thomas Partey,Arsenal,,2020,27,Atlético Madrid,La Liga,1,200,959.0
Thomas Partey,Arsenal,,2020,27,Arsenal,Premier League,1,1534,959.0
Thomas Partey,Arsenal,,2021,28,Arsenal,Premier League,1,2028,959.0
Thomas Partey,Arsenal,,2022,29,Arsenal,Premier League,1,959,959.0
Oleksandr Zinchenko,Arsenal,,2014,17,Ufa,Premier League,1,237,559.0
Oleksandr Zinchenko,Arsenal,,2015,18,Ufa,Premier League,1,1700,559.0
Oleksandr Zinchenko,Arsenal,,2016,19,Jong PSV,Eerste Divisie,2,609,559.0
Oleksandr Zinchenko,Arsenal,,2016,19,PSV Eindhoven,Eredivisie,1,499,559.0
Oleksandr Zinchenko,Arsenal,,2017,20,Manchester City,Premier League,1,532,559.0
Oleksandr Zinchenko,Arsenal,,2018,21,Manchester City,Premier League,1,1151,559.0
