player_name,team_name,current_season_minutes,season_year,season_age,season_team,season_division,season_div_level,season_minutes
Gabriel Dos Santos,Arsenal,1530,2016,18,Avaí,Série B,2,1862
Gabriel Dos Santos,Arsenal,1530,2016,18,Lille,Ligue 1,1,9
Gabriel Dos Santos,Arsenal,1530,2017,19,Troyes,Ligue 1,1,84
Gabriel Dos Santos,Arsenal,1530,2017,19,Dinamo Zagreb,1. HNL,1,90
Gabriel Dos Santos,Arsenal,1530,2018,20,Lille,Ligue 1,1,1066
Gabriel Dos Santos,Arsenal,1530,2019,21,Lille,Ligue 1,1,2087
Gabriel Dos Santos,Arsenal,1530,2020,22,Arsenal,Premier League,1,1996
Gabriel Dos Santos,Arsenal,1530,2021,23,Arsenal,Premier League,1,3063
Gabriel Dos Santos,Arsenal,1530,2022,24,Arsenal,Premier League,1,1530
Aaron Ramsdale,Arsenal,1530,2015,17,Sheffield Utd,League One,3,0
Aaron Ramsdale,Arsenal,1530,2016,18,Sheffield Utd,League One,3,0
Aaron Ramsdale,Arsenal,1530,2016,18,Bournemouth,Premier League,1,0
Aaron Ramsdale,Arsenal,1530,2017,19,Bournemouth,Premier League,1,0
Aaron Ramsdale,Arsenal,1530,2017,19,Chesterfield,League Two,4,1710
Aaron Ramsdale,Arsenal,1530,2018,20,AFC Wimbledon,League One,3,1800
Aaron Ramsdale,Arsenal,1530,2019,21,Bournemouth,Premier League,1,3330
Aaron Ramsdale,Arsenal,1530,2020,22,Sheffield Utd,Premier League,1,3420
Aaron Ramsdale,Arsenal,1530,2021,23,Sheffield Utd,Championship,2,180
Aaron Ramsdale,Arsenal,1530,2021,23,Arsenal,Premier League,1,3060
Aaron Ramsdale,Arsenal,1530,2022,24,Arsenal,Premier League,1,1530
William Saliba,Arsenal,1515,2018,17,Saint-Étienne,Ligue 1,1,1277
William Saliba,Arsenal,1515,2019,18,Saint-Étienne,Ligue 1,1,992
William Saliba,Arsenal,1515,2020,19,Nice,Ligue 1,1,1800
William Saliba,Arsenal,1515,2021,20,Marseille,Ligue 1,1,3240
William Saliba,Arsenal,1515,2022,21,Arsenal,Premier League,1,1515
Martinelli,Arsenal,1448,2019,18,Arsenal,Premier League,1,663
Martinelli,Arsenal,1448,2020,19,Arsenal,Premier League,1,589
Martinelli,Arsenal,1448,2021,20,Arsenal,Premier League,1,1860
Martinelli,Arsenal,1448,2022,21,Arsenal,Premier League,1,1448
Bukayo Saka,Arsenal,1441,2018,16,Arsenal,Premier League,1,8
Bukayo Saka,Arsenal,1441,2019,17,Arsenal,Premier League,1,1753
Bukayo Saka,Arsenal,1441,2020,18,Arsenal,Premier League,1,2553
Bukayo Saka,Arsenal,1441,2021,19,Arsenal,Premier League,1,2978
Bukayo Saka,Arsenal,1441,2022,20,Arsenal,Premier League,1,1441
Granit Xhaka,Arsenal,1436,2010,17,Basel,Swiss Super League,1,1136
